Frequency,Signal
0,-10.5806
125000,-70.2293
250000,-71.3231
375000,-70.8106
500000,-72.5529
625000,-71.3219
750000,-71.0033
875000,-71.6027
1.00E+06,-73.8724
1.13E+06,-71.7981
1.25E+06,-72.4348
1.38E+06,-72.6691
1.50E+06,-72.2493
1.63E+06,-72.7547
1.75E+06,-71.4035
1.88E+06,-71.2821
2.00E+06,-73.1242
2.13E+06,-72.8448
2.25E+06,-72.8719
2.38E+06,-73.8244
2.50E+06,-71.963
2.63E+06,-72.5253
2.75E+06,-72.332
2.88E+06,-72.7655
3.00E+06,-72.4198
3.13E+06,-71.3169
3.25E+06,-74.0762
3.38E+06,-73.5339
3.50E+06,-72.8666
3.63E+06,-73.4751
3.75E+06,-72.3352
3.88E+06,-72.1988
4.00E+06,-72.6656
4.13E+06,-72.6245
4.25E+06,-73.2383
4.38E+06,-71.3359
4.50E+06,-72.9289
4.63E+06,-71.1659
4.75E+06,-73.6959
4.88E+06,-71.8325
5.00E+06,-71.7057
5.13E+06,-71.388
5.25E+06,-73.8354
5.38E+06,-73.4965
5.50E+06,-71.0997
5.63E+06,-73.047
5.75E+06,-73.4171
5.88E+06,-71.4277
6.00E+06,-72.491
6.13E+06,-72.5757
6.25E+06,-72.729
6.38E+06,-72.9063
6.50E+06,-72.1229
6.63E+06,-71.6831
6.75E+06,-73.1157
6.88E+06,-72.5934
7.00E+06,-72.5349
7.13E+06,-72.3586
7.25E+06,-72.38
7.38E+06,-72.4037
7.50E+06,-72.7904
7.63E+06,-73.6257
7.75E+06,-72.7398
7.88E+06,-72.6303
8.00E+06,-74.0274
8.13E+06,-73.1648
8.25E+06,-71.5945
8.38E+06,-72.594
8.50E+06,-73.0294
8.63E+06,-72.1745
8.75E+06,-72.7869
8.88E+06,-71.9879
9.00E+06,-72.6562
9.13E+06,-72.7369
9.25E+06,-72.6172
9.38E+06,-73.6387
9.50E+06,-73.0619
9.63E+06,-71.053
9.75E+06,-71.9202
9.88E+06,-73.9571
1.00E+07,-72.878
1.01E+07,-73.1057
1.03E+07,-74.1845
1.04E+07,-72.2204
1.05E+07,-74.2098
1.06E+07,-73.3035
1.08E+07,-71.169
1.09E+07,-72.9468
1.10E+07,-72.2355
1.11E+07,-72.2987
1.13E+07,-72.7306
1.14E+07,-73.2111
1.15E+07,-70.6069
1.16E+07,-71.8651
1.18E+07,-73.5933
1.19E+07,-71.5444
1.20E+07,-72.2659
1.21E+07,-71.1158
1.23E+07,-70.9731
1.24E+07,-74.6268
1.25E+07,-72.2212
1.26E+07,-72.5315
1.28E+07,-72.4039
1.29E+07,-73.51
1.30E+07,-72.3673
1.31E+07,-71.6587
1.33E+07,-72.5934
1.34E+07,-72.8431
1.35E+07,-74.5283
1.36E+07,-71.4208
1.38E+07,-72.0962
1.39E+07,-73.2311
1.40E+07,-72.2726
1.41E+07,-72.7109
1.43E+07,-71.8846
1.44E+07,-72.0746
1.45E+07,-73.4036
1.46E+07,-72.341
1.48E+07,-72.6988
1.49E+07,-72.5536
1.50E+07,-72.6839
1.51E+07,-72.4633
1.53E+07,-73.7053
1.54E+07,-73.0212
1.55E+07,-72.4052
1.56E+07,-71.9054
1.58E+07,-72.5768
1.59E+07,-72.2248
1.60E+07,-73.7718
1.61E+07,-73.485
1.63E+07,-72.7135
1.64E+07,-72.9211
1.65E+07,-73.0996
1.66E+07,-72.1023
1.68E+07,-59.6456
1.69E+07,-71.5465
1.70E+07,-71.9964
1.71E+07,-73.4832
1.73E+07,-71.6524
1.74E+07,-72.7534
1.75E+07,-73.4336
1.76E+07,-73.1699
1.78E+07,-71.0529
1.79E+07,-72.9167
1.80E+07,-72.5569
1.81E+07,-72.6129
1.83E+07,-71.8113
1.84E+07,-71.6941
1.85E+07,-71.2144
1.86E+07,-73.0997
1.88E+07,-72.9074
1.89E+07,-72.0416
1.90E+07,-71.7376
1.91E+07,-73.9496
1.93E+07,-70.9547
1.94E+07,-70.8808
1.95E+07,-71.3372
1.96E+07,-72.0181
1.98E+07,-70.773
1.99E+07,-72.987
2.00E+07,-72.0274
2.01E+07,-71.9445
2.03E+07,-72.7622
2.04E+07,-73.3992
2.05E+07,-73.2738
2.06E+07,-72.9127
2.08E+07,-71.3129
2.09E+07,-73.1018
2.10E+07,-73.5808
2.11E+07,-71.6219
2.13E+07,-73.831
